county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
.Apache County,71829,72182,72229,72322,71796,71012,71381,71545,71731,71887,65911,65385
.Cochise County,131822,133097,132017,129578,127314,126454,125686,124864,126411,125922,125522,125763
.Coconino County,134612,134275,136146,136699,137566,138962,140407,141001,142523,143476,145180,142780
.Gila County,53561,53440,52994,53005,53044,52978,53356,53578,53801,54018,53351,53521
.Graham County,37152,37126,37015,37433,38099,37860,37807,37481,37995,38837,38638,38882
.Greenlee County,8339,8585,8764,8916,9349,9577,9643,9443,9448,9498,9526,9377
.La Paz County,20497,20604,20521,20522,20516,20466,20648,20706,21039,21108,16575,16391
.Maricopa County,3825110,3874996,3947505,4017723,4093648,4172905,4256143,4327184,4402403,4485414,4440232,4494693
.Mohave County,200314,202812,203347,203126,203423,204574,205412,207017,209292,212181,214176,216957
.Navajo County,107697,107552,107313,107135,107701,107638,108467,109079,110242,110924,106762,107621
.Pima County,981620,988381,993052,997127,1004229,1009103,1016707,1026391,1036554,1047279,1045175,1048895
.Pinal County,379094,378041,382251,385398,395322,405614,417193,431564,446806,462789,429446,448144
.Santa Cruz County,47415,47667,47359,46939,46636,46542,46400,46566,46395,46498,47705,48034
.Yavapai County,210983,211044,211990,214421,217716,220805,224575,228082,231772,235099,237216,242193
.Yuma County,197127,202841,202475,202420,204054,205186,207247,209507,211612,213787,204528,206241