county,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,,
.Alameda County,1449840,1469484,1462106,1454163,1445721,1441545,1444484,1455715,1477208,1498539,,,
.Alpine County,1209,1196,1237,1233,1263,1219,1276,1274,1202,1197,,,
.Amador County,35153,35697,36561,36994,37400,38040,38353,38756,38248,38238,,,
.Butte County,203807,206193,209120,211481,213065,214752,216824,217469,219034,219777,,,
.Calaveras County,40645,41304,42380,43755,44530,45295,46045,46268,46265,45900,,,
.Colusa County,18817,19022,19232,19568,20207,20540,20890,21075,21134,21250,,,
.Contra Costa County,952810,970952,979862,987531,992424,999013,1000834,1009152,1023344,1037890,,,
.Del Norte County,27440,27292,27397,27601,27950,28281,28211,28415,28496,28599,,,
.El Dorado County,157162,161101,165195,168331,171653,175003,176773,177694,179150,180455,,,
.Fresno County,801288,813021,829762,847193,861035,872470,883862,895933,909630,921478,,,
.Glenn County,26416,26450,26651,27016,27122,27393,27652,27775,28019,28100,,,
.Humboldt County,126462,127520,128780,129754,130702,131497,132093,132001,132657,133744,,,
.Imperial County,142410,143707,145640,148984,152259,156113,160505,164596,167917,172008,,,
.Inyo County,17955,18117,18394,18593,18578,18478,18370,18426,18318,18544,,,
.Kern County,663803,676574,694059,714272,736296,760726,784511,803281,818327,830137,,,
.Kings County,129835,132881,135369,139393,143601,145147,147712,150420,152027,152278,,,
.Lake County,58538,60219,61513,62496,63116,63811,64202,64077,64392,64413,,,
.Lassen County,33719,33548,33430,33930,34458,34488,34605,35615,35221,35160,,,
.Los Angeles County,9538191,9626034,9705913,9767145,9793263,9786373,9737955,9700359,9735147,9787400,,,
.Madera County,123587,125581,128369,132738,137106,140313,143622,146067,148359,149234,,,
.Marin County,247520,247866,246225,245054,243769,244206,244580,246248,248398,250862,,,
.Mariposa County,17101,17099,17243,17707,17844,17972,18219,18366,18412,18212,,,
.Mendocino County,86407,86841,87364,88140,88030,87981,87345,87071,87468,87722,,,
.Merced County,212258,218816,225351,231735,237180,242554,245338,248540,250538,252302,,,
.Modoc County,9406,9350,9362,9501,9605,9565,9617,9525,9551,9646,,,
.Mono County,12921,13224,13404,13352,13360,13474,13743,13678,13862,14008,,,
.Monterey County,402990,407082,408977,409725,408731,405139,401831,402376,406022,410263,,,
.Napa County,124565,126818,128744,130138,130387,130381,131440,132583,134093,135280,,,
.Nevada County,92520,93715,94647,95606,96512,97250,97549,97794,98200,98591,,,
.Orange County,2854513,2885457,2908245,2929376,2941711,2940055,2932261,2931629,2957593,2987177,,,
.Placer County,251012,263615,276907,290726,302841,312762,321934,329023,337568,343810,,,
.Plumas County,20754,20820,20866,20957,21000,21010,20762,20667,20410,20169,,,
.Riverside County,1558985,1616634,1687147,1771656,1856542,1931785,2012370,2075183,2109712,2146725,,,
.Sacramento County,1229940,1266257,1301079,1328531,1348932,1360816,1369563,1381161,1394438,1408601,,,
.San Benito County,53781,54644,55056,55198,54849,54647,54124,54072,54267,54436,,,
.San Bernardino County,1718037,1760731,1799791,1846115,1899065,1943924,1974140,1992161,2003735,2013960,,,
.San Diego County,2827366,2869672,2900355,2914702,2930007,2938375,2947289,2975742,3022116,3061203,,,
.San Francisco County,777885,780865,772723,766160,761325,763016,768650,778673,791152,801922,,,
.San Joaquin County,567885,591207,609041,626778,642898,656985,662812,668080,671692,677736,,,
.San Luis Obispo County,247839,251462,253083,254674,256842,258615,260498,262770,266358,268145,,,
.San Mateo County,707820,705621,697628,693057,690161,690078,690176,693849,703830,713617,,,
.Santa Barbara County,399990,403164,405178,406810,407284,408079,408085,411243,415859,420356,,,
.Santa Clara County,1684947,1688082,1669348,1663592,1663167,1675312,1691159,1712026,1740964,1765137,,,
.Santa Cruz County,255835,256045,254531,253021,252356,251377,251616,253304,256520,260009,,,
.Shasta County,163615,166408,170198,173202,174867,175615,176166,176548,177247,177279,,,
.Sierra County,3574,3518,3482,3511,3430,3378,3424,3373,3320,3248,,,
.Siskiyou County,44218,43908,43965,44287,44394,44641,44487,44465,44780,44788,,,
.Solano County,396974,404209,408226,408409,409301,408181,408402,408243,408972,410290,,,
.Sonoma County,460421,465293,465298,466489,466809,465938,465188,467356,473091,479479,,,
.Stanislaus County,449471,463761,477469,487357,492613,500020,504651,507834,509032,511536,,,
.Sutter County,79192,80138,82162,84671,86484,88764,91112,92959,93855,94366,,,
.Tehama County,56170,56685,57380,58528,59571,60602,61587,62147,62648,62891,,,
.Trinity County,12980,12859,13064,13210,13159,13440,13634,13648,13656,13762,,,
.Tulare County,368627,373171,379568,388743,398226,407970,414921,422140,429283,436987,,,
.Tuolumne County,54658,55253,55850,56513,56602,56788,56680,56339,56320,55845,,,
.Ventura County,756506,766689,779489,788070,793994,794197,798183,800027,806353,815130,,,
.Yolo County,169835,175337,180327,182954,185237,186269,189615,194339,197154,199791,,,
.Yuba County,60372,61249,62100,62733,63742,66285,69272,70761,71773,71607,,,
,,,,,,,,,,,,,